uuid,category_label,joint_count,bone_count,pred_joints,vertex_count,face_count,j2j,j2b,b2b,iou,precision,recall
582d95187722402c979da4b9caccc9bc,character,66,65,52,9921,16240,0.012905213981866837,0.008249314388824413,0.09410751610994339,0.2148737107448379,0.2883555964598286,0.344438745585002
58f4779ccfcf4cbc8b0131f89976353d,"character, scanned data",52,51,34,4282,6908,0.009506868198513985,0.009352556520538843,0.10311615467071533,0.2517573287670252,0.33234912824228274,0.37321338868472037
5991e9d4faa64536a54e2772b764869f,"character, anthropomorphic",34,33,34,6656,10808,0.01221050601452589,0.010343868606415688,0.11456170678138733,0.46304448437490403,0.5452511015877377,0.5737210755275667
5ab512dffd4f4ac289b0b13763942c81,"character, anthropomorphic",49,48,48,10456,15422,0.026231780648231506,0.009826845353624472,0.11230328679084778,0.25079897983693944,0.31483380211542705,0.36576058680078033
5c83999ae6be456aaaeccc628f248d12,anatomy,13,12,25,4283,7519,0.02670847252011299,0.048976912442594764,0.10633682459592819,0.6634014155907816,0.771483904351229,0.8258153264839376
5cc485dcc3c7497b84784a1727a1dbdb,character,52,51,45,22566,37354,0.010538666509091854,0.0071729238597779636,0.13371258974075317,0.28250476966663557,0.32502023655773543,0.39877205325588905
5f58e18afabd4f38addbc7894acb6fec,"character, anthropomorphic",52,51,52,27625,43234,0.020078543573617935,0.013670698806750946,0.11207950115203857,0.34913216759936555,0.46824766706231463,0.49221062161408
61dfef60317b46f8b68a352a3affe906,"character, anthropomorphic",34,33,33,9431,8514,0.024926980957388878,0.015933588288272873,0.10566049814224243,0.3324916027579149,0.4566800479721926,0.5021258675487781
63152c5a03414a1e8cef4eee12f8e424,"character, anthropomorphic",28,27,28,11130,10908,0.012826447375118732,0.014557055959552858,0.08001264184713364,0.6058017208801786,0.710359265077037,0.7546786591939778
6316ac72c437473caf90299e4ce5ef53,character,52,51,51,22635,34901,0.013291561044752598,0.00818601722130552,0.13094976544380188,0.3003911237469711,0.3431945940001796,0.3786618975125897
668a84366e5543dc8ea1ed8cdec16c12,"anthropomorphic, toy",60,59,17,38759,49006,0.05522371828556061,0.044534885634407946,0.06493043899536133,0.11226649981438626,0.12995114364793844,0.20680304254343304
73ae2af8e3764c29b1f1cafd32274f7a,toy,35,34,28,34830,68800,0.14828535914421082,0.04493715263691099,0.12463731318712234,0.17434360548250138,0.24816866878624308,0.2423160057289142
753396ab6a3e45e4bbc80df190ebc11b,character,52,51,48,22470,35810,0.010273458436131477,0.009453207489665752,0.12015409767627716,0.35933400001307003,0.39973481456255217,0.5025936712574485
7af62c3131794547aea8a97dd8170ea8,"character, clothing",53,52,40,21960,31441,0.013126572594046593,0.009838563179800985,0.08743488043546677,0.35175839416562077,0.4038652804694808,0.4988508555288469
7fe36e83593e4fc4ae8127f9ccd0ac4d,character,53,52,50,8244,4090,0.014594861306250095,0.008552453013835474,0.07649760693311691,0.2937311467654016,0.3899715002311443,0.45167038527948683
